timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692910613852,1820,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-2,text,true,,3261,155,100,100,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,1820,0,287
1692910613929,1978,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-9,text,true,,3261,155,99,99,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,1978,0,245
1692910613939,2010,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-10,text,true,,3261,155,98,98,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2010,0,233
1692910613989,2190,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-15,text,true,,3261,155,97,97,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2190,0,265
1692910613905,2331,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-7,text,true,,3261,155,96,96,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2331,0,241
1692910613999,2241,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-16,text,true,,3261,155,95,95,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2241,0,272
1692910613969,2332,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-13,text,true,,3261,155,94,94,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2332,0,257
1692910614033,2392,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-20,text,true,,3261,155,93,93,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2392,0,266
1692910613885,2598,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-5,text,true,,3261,155,92,92,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2598,0,253
1692910613894,2697,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-6,text,true,,3261,155,91,91,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2697,0,252
1692910613862,2729,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-3,text,true,,3261,155,91,91,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2729,0,277
1692910614066,2581,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-23,text,true,,3261,155,89,89,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2581,0,250
